"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sun May 23 05:55:05 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1621729505041","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should Sign In again with jagdishnayak2@gmail.com and jagdish","Then I should Sign In again with jagdishnayak2@gmail.com and jagdish",""
"skipped","Sun May 23 10:19:48 IST 2021","Sun May 23 10:19:48 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should Sign In again with jagdishnayak4@gmail.com and jagdish","I should Sign In again with jagdishnayak4@gmail.com and jagdish",""
"passed","Sat May 22 22:22:28 IST 2021","Sat May 22 22:22:30 IST 2021","1821","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"skipped","Sun May 23 09:56:03 IST 2021","Sun May 23 09:56:03 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, NA, 123456, 9988776600 and Home Sweet Home","I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, Los Angels, California, 90001, United States, NA, 123456, 9988776600 and Home Sweet Home",""
"skipped","Sun May 23 03:01:45 IST 2021","Sun May 23 03:01:45 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I register with ""Jagdish"", ""Nayak"","" jagdish"","" 24"",""June"",""2000"",""WIPRO"",""LA"",""LA"",""LA"",""California"",""222456"",""United States"",""998877"" and ""Brevery Hills""","I register with ""Jagdish"", ""Nayak"","" jagdish"","" 24"",""June"",""2000"",""WIPRO"",""LA"",""LA"",""LA"",""California"",""222456"",""United States"",""998877"" and ""Brevery Hills""",""
"unknown","Sat May 22 22:37:28 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1621703248638","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Sun May 23 05:54:46 IST 2021","Sun May 23 05:54:49 IST 2021","2587","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with jagdishnayak2@gmail.com","When I login with jagdishnayak2@gmail.com",""
"skipped","Sat May 22 22:37:28 IST 2021","Sat May 22 22:37:28 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I should see a flash message saying You logged into a secure area!","I should see a flash message saying You logged into a secure area!",""
"passed","Sun May 23 05:41:49 IST 2021","Sun May 23 05:41:55 IST 2021","6054","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 222456, United States, 998877 and Brevery Hills","When I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 222456, United States, 998877 and Brevery Hills",""
"skipped","Sun May 23 04:04:55 IST 2021","Sun May 23 04:04:55 IST 2021","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 222456, United States, 998877 and Brevery Hills","I register with Jagdish, Nayak, jagdish, 12, June, 2005, WIPRO, LA, LA, LA, California, 222456, United States, 998877 and Brevery Hills",""
